,RedFighter,BlueFighter,WeightClass,Gender,NumberOfRounds,RedAge,RedHeightCms,RedReachCms,RedWeightLbs,RedStance,RedWins,RedWinsBySubmission,RedCurrentWinStreak,RedLosses,RedCurrentLoseStreak,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedTotalRoundsFought,BlueAge,BlueHeightCms,BlueReachCms,BlueWeightLbs,BlueStance,BlueWins,BlueWinsBySubmission,BlueCurrentWinStreak,BlueLosses,BlueCurrentLoseStreak,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueTotalRoundsFought,Result,RedWinsByDecision,RedWinsByKO/TKO,BlueWinsByDecision,BlueWinsByKO/TKO
1101,Alexa Grasso,Viviane Araujo,0,0,0,29,165.1,167.64,125,1.0,6,1,3,3,0,4.67,0.43,0.6,0.41,0.45,23,35,162.56,172.72,125,1.0,5,0,1,2,0,4.11,0.47,0.6,1.76,0.4,21,0,5,0,4,1
1102,Cub Swanson,Jonathan Martinez,1,1,1,38,172.72,177.8,145,1.0,18,2,1,11,0,4.67,0.5,0.4,1.04,0.5,74,28,172.72,177.8,135,0.0,7,0,3,3,0,4.54,0.49,0.1,0.41,0.35,29,1,10,6,5,2
1103,Jordan Wright,Dusko Todorovic,5,1,1,31,187.96,195.58,205,1.0,2,0,0,3,2,4.1,0.56,0.4,2.09,0.45,7,28,185.42,187.96,185,1.0,3,0,0,3,1,5.54,0.57,0.0,0.96,0.12,11,1,0,2,1,2
1104,Raphael Assuncao,Victor Henry,1,1,1,40,165.1,167.64,135,1.0,14,1,0,8,4,3.22,0.42,0.2,1.65,0.39,58,35,170.18,172.72,135,1.0,1,0,1,0,0,8.34,0.54,0.5,0.0,0.0,3,0,11,2,1,0
1105,Misha Cirkunov,Alonzo Menifield,6,1,1,35,190.5,195.58,205,1.0,6,5,0,6,3,3.86,0.51,1.7,4.15,0.39,18,34,182.88,193.04,205,1.0,7,1,1,3,0,3.77,0.54,0.2,0.63,0.33,17,1,0,1,1,5
1106,Mana Martinez,Brandon Davis,1,1,1,26,177.8,177.8,135,1.0,1,0,0,2,1,4.33,0.48,0.5,0.72,0.42,7,32,177.8,182.88,135,1.0,3,1,0,6,3,4.68,0.35,0.1,0.74,0.42,23,0,1,0,2,0
1107,Nick Maximov,Jacob Malkoun,5,1,1,24,182.88,193.04,185,0.0,3,0,0,1,1,1.93,0.45,0.2,4.16,0.45,10,27,175.26,185.42,185,1.0,2,0,0,2,1,3.86,0.56,0.4,6.62,0.42,10,1,3,0,2,0
1108,Joanderson Brito,Lucas Alexander,2,1,1,27,172.72,182.88,145,1.0,2,0,1,1,0,3.35,0.51,0.6,3.11,0.76,7,27,180.34,185.42,145,1.0,0,0,0,0,0,5.23,0.55,0.0,0.0,0.0,0,0,1,1,0,0
1109,Piera Rodriguez,Sam Hughes,0,0,1,29,160.02,160.02,115,1.0,2,0,2,0,0,3.64,0.47,0.0,3.11,0.41,6,30,165.1,162.56,115,1.0,2,0,2,3,0,4.33,0.46,0.0,0.85,0.3,13,0,2,0,1,1
1110,Tatsuro Taira,CJ Vergara,0,1,1,22,170.18,177.8,125,1.0,1,0,1,0,0,3.56,0.65,2.1,2.35,0.47,3,31,167.64,172.72,125,1.0,2,0,1,1,0,5.24,0.57,0.2,0.0,0.0,7,0,1,0,1,1
1111,Mike Jackson,Pete Rodriguez,4,1,1,37,187.96,187.96,170,1.0,1,0,1,1,0,4.49,0.57,0.0,0.71,0.33,5,25,175.26,180.34,170,1.0,0,0,0,1,1,9.28,0.43,0.0,0.0,0.0,1,1,0,0,0,0
1112,Mackenzie Dern,Yan Xiaonan,0,0,0,29,162.56,160.02,115,1.0,7,4,1,2,0,3.43,0.39,1.2,0.88,0.16,21,33,165.1,160.02,115,1.0,6,0,0,2,2,4.97,0.44,0.0,1.0,0.73,23,1,3,0,6,0
1113,Randy Brown,Francisco Trinaldo,4,1,1,32,190.5,198.12,170,1.0,9,3,3,4,0,4.38,0.47,0.6,0.72,0.39,32,44,175.26,177.8,170,0.0,18,2,2,7,0,3.13,0.45,0.5,0.98,0.42,65,0,4,2,11,5
1114,Raoni Barcelos,Trevin Jones,1,1,1,35,170.18,170.18,135,1.0,5,1,0,2,2,5.22,0.51,0.6,1.86,0.32,19,32,170.18,177.8,135,0.0,1,0,0,2,2,2.13,0.37,0.2,0.62,0.15,10,0,2,2,0,1
1115,Sodiq Yusuff,Don Shainis,2,1,1,29,175.26,180.34,145,1.0,6,0,1,1,0,5.66,0.49,0.4,0.28,0.2,17,32,167.64,170.18,145,1.0,0,0,0,0,0,3.42,0.5,1.9,0.97,0.25,0,0,4,2,0,0
1116,Mike Davis,Viacheslav Borshchev,3,1,1,29,182.88,182.88,155,1.0,2,0,2,2,0,5.35,0.52,0.4,2.77,0.53,11,30,180.34,175.26,155,1.0,2,0,0,1,1,5.4,0.53,0.0,0.0,0.0,6,0,1,1,0,2
1117,John Castaneda,Daniel Santos,2,1,1,30,167.64,180.34,135,1.0,3,1,2,1,0,4.67,0.5,0.1,1.79,0.35,10,27,170.18,170.18,135,1.0,0,0,0,1,1,4.26,0.37,0.0,1.9,0.5,3,1,1,1,0,0
1118,Ilir Latifi,Aleksei Oleinik,7,1,1,40,177.8,185.42,230,1.0,8,2,1,6,0,2.05,0.45,0.3,2.11,0.35,28,45,187.96,203.2,240,1.0,9,7,1,7,0,3.29,0.48,1.9,1.82,0.46,26,0,3,3,1,1
1119,Joaquim Silva,Jesse Ronson,3,1,1,33,172.72,175.26,155,0.0,4,0,0,3,2,3.66,0.43,0.8,0.39,0.5,16,36,177.8,177.8,155,0.0,0,0,0,4,4,3.54,0.47,0.5,0.46,0.28,12,0,2,2,0,0
1120,Krzysztof Jotko,Brendan Allen,5,1,1,33,185.42,195.58,185,0.0,11,0,2,5,0,2.98,0.42,0.1,1.33,0.39,44,26,187.96,190.5,185,1.0,8,4,2,2,0,3.98,0.53,1.4,1.74,0.47,20,1,10,1,3,1
1121,Julija Stoliarenko,Chelsea Chandler,2,1,1,29,170.18,167.64,125,1.0,1,1,1,4,0,2.49,0.39,1.7,0.93,0.27,13,31,172.72,172.72,135,0.0,0,0,0,0,0,3.53,0.45,0.0,0.91,0.6,0,1,0,0,0,0
1122,Guido Cannetti,Randy Costa,1,1,1,42,167.64,172.72,135,0.0,3,0,1,5,0,3.44,0.55,0.4,2.27,0.55,16,28,175.26,185.42,135,1.0,2,0,0,3,2,6.53,0.46,0.0,0.0,0.0,8,0,2,1,0,2
1123,Cory Sandhagen,Song Yadong,1,1,0,30,180.34,177.8,135,1.0,7,1,0,3,2,5.02,0.44,0.3,1.19,0.32,25,24,172.72,170.18,135,1.0,8,1,3,1,0,4.49,0.43,0.2,0.66,0.4,22,0,2,4,3,4
1124,Chidi Njokuani,Gregory Rodrigues,5,1,1,33,190.5,203.2,170,1.0,3,0,3,0,0,4.09,0.61,0.2,0.0,0.0,5,30,190.5,190.5,185,1.0,3,0,1,2,0,5.52,0.56,0.4,2.74,0.41,10,1,0,3,1,2
1125,Andre Fili,Bill Algeo,2,1,1,32,180.34,187.96,145,1.0,9,0,0,8,2,3.88,0.37,0.2,2.15,0.43,43,33,182.88,185.42,145,1.0,3,0,2,3,0,5.88,0.51,0.1,1.03,0.5,17,0,6,3,2,1
1126,Joe Pyfer,Alen Amedovski,5,1,1,26,187.96,190.5,185,1.0,1,0,1,1,0,3.72,0.41,0.9,1.45,0.41,3,34,177.8,187.96,185,1.0,0,0,0,3,3,0.99,0.3,0.0,0.0,0.0,5,0,0,1,0,0
1127,Tanner Boser,Rodrigo Nascimento,7,1,1,31,187.96,190.5,205,1.0,4,0,1,3,0,4.7,0.52,0.0,0.0,0.0,17,29,187.96,203.2,246,1.0,2,2,0,1,1,4.05,0.49,0.6,1.23,0.37,6,1,1,3,0,0
1128,Anthony Hernandez,Marc-Andre Barriault,5,1,1,28,182.88,190.5,185,1.0,3,2,2,2,0,4.3,0.59,3.0,6.62,0.49,11,32,185.42,187.96,185,1.0,3,1,1,4,0,6.12,0.47,0.1,0.21,0.25,19,0,1,0,1,1
1129,Damon Jackson,Pat Sabatini,2,1,1,34,180.34,180.34,145,1.0,4,2,3,2,0,2.9,0.42,1.2,2.34,0.34,18,31,172.72,177.8,145,1.0,4,1,4,0,0,2.02,0.59,1.9,3.73,0.42,10,0,2,0,3,0
1130,Trevin Giles,Louis Cosce,4,1,1,30,182.88,187.96,170,1.0,5,0,0,4,2,3.27,0.55,0.3,1.19,0.5,23,27,175.26,180.34,170,1.0,1,0,0,1,1,4.31,0.45,0.5,1.04,0.2,4,0,2,3,0,1
1131,Denise Gomes,Loma Lookboonmee,0,0,1,22,157.48,160.02,115,1.0,1,0,1,0,0,4.48,0.49,0.9,0.88,0.3,3,26,154.94,154.94,115,1.0,3,0,0,2,1,4.1,0.57,0.1,1.9,0.5,15,1,1,0,3,0
1132,Trey Ogden,Daniel Zellhuber,3,1,1,32,180.34,182.88,155,1.0,0,0,0,1,1,3.07,0.48,0.8,2.04,0.3,3,23,185.42,195.58,155,1.0,1,0,1,0,0,5.86,0.41,0.2,0.22,0.33,3,0,0,0,1,0
1133,Mariya Agapova,Gillian Robertson,0,0,1,25,167.64,172.72,125,0.0,2,2,0,3,1,4.43,0.54,0.8,0.55,0.66,11,27,165.1,160.02,115,1.0,7,5,0,5,1,2.83,0.48,1.1,2.48,0.42,25,1,0,0,1,1
1134,Tony Gravely,Javid Basharat,1,1,1,30,165.1,175.26,135,1.0,5,0,2,2,0,3.82,0.48,0.3,5.4,0.41,17,27,175.26,175.26,135,1.0,2,1,2,0,0,5.42,0.53,0.2,1.7,0.4,6,1,2,3,1,0
1135,Nikolas Motta,Cameron VanCamp,3,1,1,29,175.26,177.8,155,1.0,1,0,0,1,1,3.08,0.33,0.0,0.0,0.0,5,29,187.96,187.96,155,1.0,0,0,0,1,1,5.31,0.47,0.0,0.0,0.0,1,0,1,0,0,0
1136,Nate Diaz,Tony Ferguson,4,1,0,37,182.88,193.04,170,0.0,19,11,0,12,2,4.57,0.45,1.3,1.05,0.3,77,38,180.34,193.04,170,1.0,15,6,0,5,4,4.91,0.45,0.9,0.39,0.35,48,0,4,4,4,5
1137,Khamzat Chimaev,Kevin Holland,2,1,1,28,187.96,190.5,185,1.0,5,2,5,0,0,5.72,0.58,2.7,3.99,0.46,8,29,190.5,205.74,185,1.0,11,3,2,4,0,4.25,0.49,0.6,0.84,0.38,41,0,1,2,4,4
1138,Li Jingliang,Daniel Rodriguez,2,1,1,34,182.88,180.34,170,1.0,11,0,1,5,0,4.46,0.42,0.0,1.19,0.41,36,35,185.42,187.96,170,0.0,7,1,3,1,0,7.42,0.49,0.1,0.55,0.5,19,1,3,8,4,2
1139,Irene Aldana,Macy Chiasson,2,1,1,34,175.26,172.72,135,1.0,6,1,1,4,0,5.24,0.4,0.2,0.16,0.5,28,31,180.34,182.88,135,1.0,6,1,1,2,0,3.77,0.46,0.4,2.37,0.38,19,0,3,2,3,2
1140,Johnny Walker,Ion Cutelaba,6,1,1,30,198.12,208.28,205,1.0,5,0,0,4,2,3.87,0.53,0.9,0.45,1.0,17,28,185.42,190.5,205,0.0,5,0,0,6,1,4.44,0.43,0.0,4.17,0.57,23,0,1,4,2,3
1141,Hakeem Dawodu,Julian Erosa,2,1,1,31,172.72,185.42,145,1.0,6,0,1,2,0,5.45,0.5,0.0,0.0,0.0,22,33,185.42,187.96,145,0.0,6,2,2,5,0,6.18,0.48,0.8,1.69,0.48,25,1,5,1,2,2
1142,Jailton Almeida,Anton Turkalj,2,1,1,31,190.5,200.66,205,1.0,3,2,3,0,0,2.46,0.64,2.6,6.85,0.59,4,26,193.04,198.12,205,1.0,1,0,1,0,0,2.45,0.42,0.0,4.98,0.41,3,0,0,1,1,0
1143,Denis Tiuliulin,Jamie Pickett,5,1,1,34,185.42,195.58,185,1.0,0,0,0,1,1,3.61,0.41,0.0,0.96,0.42,2,34,187.96,203.2,185,1.0,3,0,0,5,1,2.65,0.47,0.1,1.26,0.4,17,0,0,0,2,1
1144,Jake Collier,Chris Barnett,7,1,1,33,190.5,198.12,230,1.0,5,1,0,6,1,5.8,0.44,0.6,0.71,0.33,25,36,175.26,190.5,265,1.0,1,0,0,2,1,4.41,0.48,0.0,0.0,0.0,7,1,3,1,0,1
1145,Norma Dumont,Danyelle Wolf,2,0,1,31,170.18,170.18,135,1.0,3,0,0,2,1,3.11,0.49,0.0,1.91,0.68,15,39,180.34,177.8,145,1.0,1,0,1,0,0,2.37,0.25,0.5,0.0,0.0,3,0,3,0,1,0
1146,Chad Anheliger,Alatengheili,1,1,1,35,167.64,162.56,135,1.0,2,0,2,0,0,3.6,0.45,0.6,0.82,0.3,6,30,165.1,167.64,135,1.0,3,0,1,1,0,2.64,0.32,0.0,1.99,0.45,13,1,1,1,2,1
1147,Melissa Martinez,Elise Reed,0,0,1,25,157.48,167.64,115,0.0,0,0,0,0,0,3.0,0.57,0.0,1.0,0.5,0,29,160.02,160.02,115,1.0,1,0,0,2,1,2.66,0.49,0.0,0.58,0.6,7,1,0,0,1,0
1148,Darian Weeks,Yohan Lainesse,4,1,1,28,180.34,182.88,170,1.0,0,0,0,2,2,4.49,0.51,0.0,2.0,0.3,6,30,185.42,193.04,170,1.0,1,0,0,1,1,2.22,0.41,0.5,0.94,0.28,3,1,0,0,0,1
1149,Ciryl Gane,Tai Tuivasa,7,1,0,32,193.04,205.74,245,1.0,7,2,0,1,1,5.49,0.6,0.5,0.58,0.21,27,29,187.96,190.5,264,0.0,8,0,5,3,0,3.77,0.46,0.0,0.0,0.0,19,0,3,2,1,7
1150,Robert Whittaker,Marvin Vettori,5,1,1,31,182.88,185.42,185,1.0,14,0,0,4,1,4.58,0.43,0.0,0.8,0.38,55,28,182.88,187.96,185,0.0,8,2,1,3,0,4.56,0.45,0.5,1.66,0.45,40,0,9,5,6,0
1151,Nassourdine Imavov,Joaquin Buckley,5,1,1,27,190.5,190.5,185,1.0,3,0,2,1,0,4.58,0.55,1.3,0.98,0.36,10,28,177.8,193.04,170,0.0,5,0,3,2,0,4.25,0.36,0.0,1.69,0.44,16,0,1,2,1,4
1152,Alessio Di Chirico,Roman Kopylov,5,1,1,32,182.88,187.96,185,1.0,4,0,0,6,1,3.32,0.39,0.0,1.46,0.39,23,31,182.88,190.5,185,0.0,0,0,0,2,2,4.33,0.54,0.0,1.2,0.53,6,1,2,2,0,0
1153,William Gomis,Jarno Errens,2,1,1,25,182.88,185.42,145,0.0,0,0,0,0,0,2.62,0.46,0.7,1.06,0.6,0,27,180.34,185.42,145,1.0,0,0,0,0,0,3.29,0.44,0.3,0.0,0.0,0,0,0,0,0,0
1154,Charles Jourdain,Nathaniel Wood,2,1,1,26,175.26,175.26,145,1.0,4,1,0,4,1,5.48,0.48,0.5,0.35,0.23,24,29,167.64,175.26,145,1.0,5,3,1,2,0,5.75,0.51,0.5,1.56,0.48,19,1,1,2,2,0
1155,Abus Magomedov,Dustin Stoltzfus,5,1,1,32,187.96,198.12,185,1.0,0,0,0,0,0,2.88,0.44,0.0,2.65,0.77,0,30,182.88,190.5,185,1.0,2,0,1,3,0,3.51,0.44,1.0,2.45,0.41,13,0,0,0,1,1
1156,John Makdessi,Nasrat Haqparast,3,1,1,37,172.72,172.72,155,1.0,11,0,1,7,0,5.52,0.49,0.0,0.0,0.0,45,27,177.8,182.88,155,0.0,5,0,0,4,2,6.15,0.44,0.0,0.28,0.2,24,1,8,3,4,1
1157,Fares Ziam,Michal Figlak,3,1,1,25,185.42,190.5,155,1.0,2,0,0,2,1,2.7,0.48,0.2,0.81,0.23,10,26,177.8,177.8,155,1.0,0,0,0,0,0,4.0,0.39,0.0,0.5,0.12,0,0,2,0,0,0
1158,Benoit Saint Denis,Gabriel Miranda,3,1,1,26,180.34,185.42,155,0.0,1,1,1,1,0,5.7,0.54,1.5,4.76,0.37,5,32,180.34,180.34,145,1.0,0,0,0,0,0,3.52,0.51,2.4,4.8,0.4,0,0,0,0,0,0
1159,Khalid Taha,Cristian Quinonez,1,1,1,30,165.1,175.26,135,1.0,1,0,0,3,2,2.64,0.32,0.2,0.0,0.0,13,26,172.72,177.8,135,1.0,1,0,1,0,0,4.19,0.4,0.0,1.37,0.37,3,1,0,1,1,0
1160,Stephanie Egger,Ailin Perez,2,0,1,34,167.64,172.72,135,1.0,2,1,0,2,1,2.2,0.46,0.6,2.48,0.42,7,27,165.1,167.64,135,1.0,0,0,0,0,0,2.91,0.58,0.0,5.19,0.51,0,0,0,1,0,0
1161,Kamaru Usman,Leon Edwards,4,1,0,35,182.88,193.04,170,1.0,15,1,15,0,0,4.36,0.52,0.1,2.82,0.45,53,30,187.96,187.96,170,0.0,11,1,9,2,0,2.68,0.53,0.4,1.25,0.36,45,1,10,4,8,2
1162,Paulo Costa,Luke Rockhold,5,1,1,31,185.42,182.88,185,1.0,5,0,0,2,2,6.22,0.58,0.0,0.36,0.75,17,37,190.5,195.58,185,0.0,15,7,0,4,2,4.1,0.49,1.0,0.7,0.29,36,0,1,4,2,6
1163,Jose Aldo,Merab Dvalishvili,1,1,1,35,170.18,177.8,135,1.0,21,0,3,6,0,3.63,0.46,0.1,0.51,0.53,84,31,167.64,172.72,135,1.0,7,0,7,2,0,4.5,0.41,0.3,6.43,0.36,26,1,10,11,6,1
1164,Wu Yanan,Lucie Pudilova,1,0,1,26,172.72,167.64,135,1.0,1,1,0,4,3,4.23,0.41,0.2,0.62,0.3,13,28,172.72,170.18,125,1.0,2,0,0,5,4,3.6,0.37,0.6,0.7,0.31,20,1,0,0,2,0
1165,Tyson Pedro,Harry Hunsucker,6,1,1,30,190.5,200.66,205,1.0,4,2,1,3,0,2.9,0.59,0.8,0.76,0.3,11,33,187.96,190.5,205,1.0,0,0,0,3,3,3.54,0.52,2.0,0.0,0.0,3,0,0,2,0,0
1166,Marcin Tybura,Alexandr Romanov,7,1,1,36,190.5,198.12,249,1.0,9,0,0,6,1,3.57,0.48,0.1,1.42,0.33,40,31,187.96,190.5,262,0.0,5,3,5,0,0,3.94,0.52,0.8,4.17,0.54,9,0,5,4,1,1
1167,Leonardo Santos,Jared Gordon,3,1,1,42,182.88,190.5,155,1.0,7,2,0,2,2,2.82,0.46,0.2,0.88,0.25,23,33,175.26,172.72,155,1.0,6,0,0,4,1,5.75,0.55,0.0,1.78,0.31,25,1,3,2,5,1
1168,AJ Fletcher,Ange Loosa,4,1,1,25,177.8,170.18,170,1.0,1,0,0,1,1,3.36,0.49,0.9,1.54,0.35,4,29,177.8,187.96,170,1.0,0,0,0,2,2,5.6,0.44,0.2,2.41,0.38,6,1,0,1,0,0
1169,Amir Albazi,Francisco Figueiredo,0,1,1,28,165.1,172.72,125,1.0,2,1,2,0,0,2.8,0.39,0.7,1.71,0.33,4,32,167.64,172.72,125,0.0,2,1,1,1,0,2.04,0.61,0.4,2.51,0.75,7,0,1,0,1,0
1170,Aoriqileng,Jay Perrin,1,1,1,29,170.18,175.26,135,1.0,1,0,1,2,0,5.31,0.5,0.0,1.45,0.46,7,29,170.18,170.18,135,1.0,0,0,0,2,2,3.71,0.46,0.0,2.83,0.52,6,0,0,1,0,0
1171,Daniel Lacerda,Victor Altamirano,0,1,1,26,167.64,177.8,125,1.0,0,0,0,2,2,3.95,0.45,1.2,2.32,0.5,3,31,172.72,177.8,125,1.0,1,0,0,1,1,4.55,0.57,0.0,3.43,0.39,6,1,0,0,1,0
1172,Marlon Vera,Dominick Cruz,1,1,0,29,172.72,177.8,135,1.0,13,4,3,6,0,4.27,0.49,0.8,0.51,0.39,49,37,172.72,172.72,135,1.0,14,0,2,3,0,3.91,0.33,0.1,2.82,0.42,59,0,3,6,12,2
1173,Nate Landwehr,David Onama,2,1,1,34,175.26,182.88,145,1.0,2,1,1,2,0,6.25,0.46,1.0,1.0,0.41,8,28,180.34,187.96,145,1.0,2,1,2,1,0,5.04,0.48,0.5,0.67,0.17,6,0,1,0,0,1
1174,Yazmin Jauregui,Iasmin Lucindo,0,0,1,23,160.02,162.56,115,1.0,0,0,0,0,0,6.26,0.38,0.0,0.0,0.0,0,20,160.02,167.64,115,1.0,0,0,0,0,0,3.95,0.46,0.3,2.23,0.53,0,0,0,0,0,0
1175,Devin Clark,Azamat Murzakanov,6,1,1,32,182.88,190.5,205,1.0,7,0,1,6,0,3.03,0.54,0.1,2.17,0.32,31,33,177.8,180.34,205,0.0,2,0,2,0,0,4.72,0.56,0.0,0.62,0.15,4,1,6,1,0,2
1176,Priscila Cachoeira,Ariane Lipski,1,0,1,33,170.18,165.1,125,1.0,3,0,1,4,0,3.76,0.44,0.0,0.15,0.33,15,28,167.64,170.18,125,1.0,3,1,1,4,0,4.1,0.41,0.3,0.56,0.55,17,0,1,2,2,0
1177,Bruno Silva,Gerald Meerschaert,5,1,1,33,182.88,187.96,185,1.0,3,0,0,1,1,4.12,0.49,0.0,0.93,0.27,8,34,185.42,195.58,185,0.0,9,8,0,7,1,3.13,0.45,1.6,2.14,0.36,32,1,0,3,0,1
1178,Angela Hill,Loopy Godinez,2,1,1,37,160.02,162.56,115,1.0,8,0,0,12,3,5.46,0.49,0.1,0.76,0.32,57,28,157.48,154.94,115,1.0,3,1,2,2,0,4.16,0.48,1.0,2.95,0.47,13,0,6,2,2,0
1179,Martin Buday,Lukasz Brzeski,7,1,1,30,193.04,195.58,265,1.0,2,0,2,0,0,4.84,0.53,0.2,0.21,0.25,4,30,193.04,198.12,236,1.0,1,1,1,0,0,4.9,0.5,0.5,0.46,0.5,3,0,1,1,0,0
1180,Cynthia Calvillo,Nina Nunes,0,0,1,35,162.56,162.56,115,1.0,6,3,0,4,3,4.41,0.38,0.8,1.8,0.44,28,36,165.1,162.56,125,1.0,4,1,0,4,2,4.39,0.45,0.5,0.24,0.33,22,1,3,0,3,0
1181,Gabriel Benitez,Charlie Ontiveros,3,1,1,34,172.72,180.34,155,0.0,6,2,0,6,2,5.26,0.41,0.9,0.22,0.5,25,31,187.96,187.96,155,1.0,0,0,0,2,2,1.89,0.41,0.0,0.0,0.0,3,0,2,2,0,0
1182,Ode Osbourne,Tyson Nam,0,1,1,30,170.18,185.42,125,0.0,4,1,2,2,0,3.46,0.38,0.2,1.27,0.27,8,38,170.18,172.72,125,1.0,2,0,0,3,1,3.87,0.33,0.0,0.0,0.0,12,1,1,2,0,2
1183,Jason Witt,Josh Quinlan,2,1,1,35,177.8,177.8,170,1.0,2,1,0,3,1,2.15,0.44,0.9,6.9,0.48,9,29,182.88,182.88,170,1.0,0,0,0,0,0,3.57,0.42,0.0,0.34,0.11,1,1,1,0,0,0
1184,Thiago Santos,Jamahal Hill,6,1,0,38,187.96,193.04,205,1.0,14,0,0,9,1,3.72,0.48,0.1,0.88,0.33,53,31,193.04,200.66,205,0.0,5,0,2,1,0,7.18,0.54,0.0,0.0,0.0,11,1,3,11,1,4
1185,Vicente Luque,Geoff Neal,4,1,1,30,180.34,190.5,170,1.0,14,5,0,4,1,5.07,0.52,0.6,1.0,0.53,37,31,180.34,190.5,170,0.0,7,1,1,2,0,4.97,0.5,0.1,0.46,0.44,21,1,1,8,2,4
1186,Mohammed Usman,Zac Pauga,7,1,1,33,187.96,200.66,239,1.0,0,0,0,0,0,3.41,0.36,0.0,0.69,0.17,0,34,187.96,193.04,205,1.0,0,0,0,0,0,4.46,0.62,0.0,0.38,0.07,0,0,0,0,0,0
1187,Brogan Walker,Juliana Miller,0,0,1,34,162.56,170.18,125,1.0,0,0,0,0,0,2.04,0.3,0.0,0.0,0.0,0,26,170.18,167.64,125,1.0,0,0,0,0,0,3.31,0.45,1.8,1.84,0.44,0,1,0,0,0,0
1188,Augusto Sakai,Serghei Spivac,7,1,1,31,190.5,195.58,265,1.0,5,0,0,3,3,4.6,0.49,0.0,0.23,0.4,20,27,190.5,198.12,260,1.0,5,1,1,3,0,3.51,0.49,0.7,4.63,0.65,16,1,2,3,2,2
1189,Terrance McKinney,Erick Gonzalez,3,1,1,27,177.8,185.42,155,1.0,2,1,0,2,1,4.53,0.5,1.0,3.45,0.36,5,30,180.34,190.5,155,1.0,0,0,0,1,1,2.4,0.36,0.0,6.0,0.55,2,0,0,1,0,0
1190,Sam Alvey,Michal Oleksiejczuk,5,1,1,36,187.96,190.5,185,0.0,10,1,0,12,7,3.28,0.44,0.1,0.06,0.14,51,27,182.88,187.96,185,0.0,4,0,0,3,1,5.08,0.5,0.0,1.08,0.43,15,1,4,5,1,3
1191,Bryan Battle,Takashi Sato,4,1,1,27,185.42,195.58,170,1.0,2,1,2,0,0,4.52,0.51,0.6,1.12,0.28,5,32,177.8,185.42,170,0.0,2,0,0,3,2,2.21,0.41,0.0,0.76,0.37,11,0,1,0,0,2
1192,Cory McKenna,Miranda Granger,0,0,1,23,160.02,147.32,115,1.0,2,0,0,1,1,3.0,0.4,0.4,2.22,0.58,9,30,170.18,172.72,115,1.0,1,0,0,2,2,2.79,0.47,0.0,0.0,0.0,7,0,2,0,1,0
1193,Mayra Bueno Silva,Stephanie Egger,1,0,1,30,167.64,167.64,135,1.0,4,3,1,2,0,4.01,0.59,1.5,0.64,0.29,15,33,167.64,172.72,135,1.0,2,1,2,1,0,2.2,0.46,0.6,2.48,0.42,6,0,1,0,0,1
1194,Julianna Pena,Amanda Nunes,1,0,0,32,167.64,175.26,135,1.0,7,2,2,2,0,3.16,0.47,0.8,1.94,0.55,21,34,172.72,175.26,135,1.0,15,3,0,3,1,4.55,0.51,0.7,2.73,0.54,40,1,3,2,4,8
1195,Brandon Moreno,Kai Kara-France,0,1,0,28,170.18,177.8,125,1.0,7,3,0,3,1,3.87,0.44,0.5,1.74,0.46,37,29,162.56,175.26,125,1.0,7,0,3,2,0,4.56,0.39,0.0,0.61,0.33,22,0,3,1,5,2
1196,Derrick Lewis,Sergei Pavlovich,7,1,1,37,190.5,200.66,260,1.0,17,0,0,7,1,2.48,0.5,0.0,0.57,0.26,54,30,190.5,213.36,257,0.0,3,0,3,1,0,5.86,0.44,0.0,0.0,0.0,4,1,4,13,0,3
1197,Alexandre Pantoja,Alex Perez,0,1,1,32,165.1,170.18,125,1.0,8,3,2,3,0,4.41,0.49,0.8,2.61,0.47,26,30,167.64,165.1,125,1.0,7,3,0,2,1,4.19,0.46,0.8,2.04,0.46,14,0,3,2,2,2
1198,Magomed Ankalaev,Anthony Smith,6,1,1,30,190.5,190.5,205,1.0,8,0,8,1,0,3.64,0.53,0.0,1.02,0.31,23,34,193.04,193.04,205,1.0,13,5,3,8,0,3.24,0.49,0.6,0.46,0.26,48,0,4,4,1,7
1199,Alex Morono,Matthew Semelsberger,4,1,1,31,180.34,182.88,170,1.0,10,1,3,4,0,4.96,0.41,0.4,0.36,0.26,36,29,185.42,190.5,170,1.0,4,0,2,1,0,3.78,0.43,0.4,1.02,0.57,11,0,7,2,2,2
1200,Drew Dober,Rafael Alves,3,1,1,33,172.72,177.8,155,0.0,11,1,1,7,0,4.39,0.4,0.1,0.67,0.17,37,31,172.72,172.72,155,1.0,2,2,1,1,0,1.85,0.48,1.5,0.29,0.25,6,0,3,7,0,0
1201,Drakkar Klose,Rafa Garcia,3,1,1,34,175.26,177.8,155,1.0,6,0,1,2,0,4.37,0.55,0.0,1.58,0.26,22,27,170.18,177.8,155,1.0,2,1,2,2,0,4.19,0.42,0.3,3.61,0.44,11,0,5,1,1,0
1202,Michael Morales,Adam Fugitt,4,1,1,23,182.88,200.66,170,1.0,2,0,2,0,0,5.42,0.48,0.0,1.16,0.41,4,33,185.42,195.58,170,0.0,0,0,0,0,0,4.72,0.45,0.0,2.04,0.29,0,0,1,1,0,0
