,RedFighter,BlueFighter,WeightClass,Gender,NumberOfRounds,RedAge,RedHeightCms,RedReachCms,RedWeightLbs,RedStance,RedWins,RedWinsBySubmission,RedCurrentWinStreak,RedLosses,RedCurrentLoseStreak,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedTotalRoundsFought,BlueAge,BlueHeightCms,BlueReachCms,BlueWeightLbs,BlueStance,BlueWins,BlueWinsBySubmission,BlueCurrentWinStreak,BlueLosses,BlueCurrentLoseStreak,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueTotalRoundsFought,Result,RedWinsByDecision,RedWinsByKO/TKO,BlueWinsByDecision,BlueWinsByKO/TKO
184,Mackenzie Dern,Loopy Godinez,0,0,1,31,162.56,160.02,115,1.0,8,4,0,5,2,3.43,0.39,1.2,0.88,0.16,36,30,157.48,154.94,115,1.0,7,2,0,4,1,4.16,0.48,1.0,2.95,0.47,30,0,4,0,5,0
185,Joel Alvarez,Elves Brener,3,1,1,31,190.5,195.58,155,1.0,5,3,1,2,0,4.39,0.52,1.2,0.0,0.0,12,26,177.8,182.88,155,1.0,3,0,0,1,1,3.99,0.47,0.0,1.23,0.23,10,0,0,2,1,2
186,Azamat Murzakanov,Alonzo Menifield,6,1,1,35,177.8,180.34,205,0.0,4,0,4,0,0,4.72,0.56,0.0,0.62,0.15,10,36,182.88,193.04,205,1.0,10,2,0,4,1,3.77,0.54,0.2,0.63,0.33,27,0,1,3,2,6
187,Mohammad Yahya,Kaue Fernandes,3,1,1,30,175.26,185.42,155,1.0,0,0,0,1,1,2.38,0.42,0.8,0.76,1.0,3,29,175.26,185.42,155,1.0,0,0,0,1,1,3.04,0.57,0.0,0.76,1.0,3,1,0,0,0,0
188,Shamil Gaziev,Don'Tale Mayes,7,1,1,34,193.04,198.12,265,1.0,2,1,0,1,1,2.43,0.49,0.3,1.03,0.3,7,32,198.12,205.74,260,1.0,6,0,1,5,0,3.51,0.43,0.0,0.65,0.38,31,0,0,1,2,4
189,Guram Kutateladze,Jordan Vucenic,3,1,1,32,180.34,182.88,155,1.0,1,0,0,2,2,3.95,0.45,0.0,0.77,0.2,9,28,177.8,185.42,155,1.0,0,0,0,0,0,2.27,0.4,0.0,0.0,0.0,0,0,1,0,0,0
190,Viktoriia Dudakova,Sam Hughes,0,0,1,25,165.1,170.18,115,1.0,3,0,3,0,0,3.45,0.48,0.0,2.63,0.36,7,32,165.1,162.56,115,1.0,3,0,0,5,1,4.33,0.46,0.0,0.85,0.3,22,1,2,1,2,1
191,Jai Herbert,Rolando Bedoya,3,1,1,36,185.42,195.58,155,1.0,2,0,0,4,1,3.16,0.42,0.0,0.5,0.23,17,27,180.34,187.96,155,1.0,0,0,0,2,2,7.29,0.49,0.0,0.0,0.0,6,0,1,1,0,0
192,Sedriques Dumas,Denis Tiuliulin,5,1,1,28,187.96,200.66,185,1.0,3,1,0,2,1,2.15,0.48,0.3,1.31,0.35,10,36,185.42,195.58,185,1.0,1,0,0,4,3,3.61,0.41,0.0,0.96,0.42,8,0,2,0,0,1
193,Leon Edwards,Belal Muhammad,4,1,0,32,187.96,187.96,170,0.0,14,1,12,2,0,2.68,0.53,0.4,1.25,0.36,60,36,180.34,182.88,170,1.0,14,1,9,3,0,4.39,0.43,0.2,2.28,0.39,54,1,10,3,11,2
194,Tom Aspinall,Curtis Blaydes,7,1,0,31,195.58,198.12,256,1.0,7,2,2,1,0,8.07,0.67,1.6,3.27,1.0,9,33,193.04,203.2,265,1.0,13,0,1,4,0,3.54,0.5,0.0,5.69,0.53,41,0,0,5,5,8
195,King Green,Paddy Pimblett,3,1,1,37,177.8,180.34,155,1.0,17,4,1,12,0,6.43,0.53,0.3,1.23,0.39,75,29,177.8,185.42,155,1.0,5,2,5,0,0,4.94,0.53,2.1,0.91,0.25,10,1,10,3,2,1
196,Christian Leroy Duncan,Gregory Rodrigues,5,1,1,29,187.96,200.66,185,1.0,3,0,2,1,0,4.71,0.62,0.0,0.31,0.14,8,32,190.5,190.5,185,1.0,6,0,2,3,0,5.52,0.56,0.4,2.74,0.41,17,1,0,3,1,5
197,Arnold Allen,Giga Chikadze,2,1,1,30,172.72,177.8,145,0.0,10,2,0,2,2,3.45,0.41,0.3,0.93,0.47,35,35,182.88,187.96,145,1.0,8,0,1,2,0,3.92,0.42,0.2,0.21,0.33,28,0,6,2,5,3
198,Nathaniel Wood,Daniel Pineda,2,1,1,31,167.64,175.26,145,1.0,7,3,0,3,1,5.75,0.51,0.5,1.56,0.48,28,38,170.18,175.26,145,1.0,5,4,0,6,1,2.85,0.49,1.5,1.42,0.24,24,0,4,0,0,1
199,Molly McCann,Bruna Brasil,0,0,1,34,162.56,157.48,115,1.0,7,1,1,5,0,5.39,0.49,0.5,1.84,0.36,27,30,167.64,165.1,115,1.0,2,0,0,2,1,2.94,0.61,0.0,1.93,0.72,10,1,4,2,1,1
200,Jake Hadley,Caolan Loughran,1,1,1,27,170.18,177.8,135,0.0,3,2,0,3,2,3.8,0.43,1.1,0.33,0.11,14,28,167.64,172.72,135,1.0,1,0,1,1,0,5.64,0.43,0.0,2.0,0.26,6,0,0,1,1,0
