,WeightClass,RedStance,BlueStance,Age_diff,Height_diff,Reach_diff,Weight_diff,Red_wins_loss_diff,Blue_wins_loss_diff,Red_Blue_Wins_diff,Red_Blue_Loss_diff,Red_Blue_wins_loss_diff,Red_Blue_curr_streak_diff,Red_Blue_SignStrikAvg_diff,Red_Blue_SuccTDAvg_diff,Red_Blue_AvgSubAtt_diff
915,1,1.0,1.0,3,-7.6200000000000045,-7.6200000000000045,0,7,0,10,3,7,0.0,-0.6509999999999996,0.1269,0.0
916,5,1.0,1.0,-2,-5.079999999999984,7.6200000000000045,0,1,-2,1,-2,3,3.0,-0.07679999999999998,0.2935,-0.8
917,1,1.0,1.0,4,5.0800000000000125,-2.539999999999992,0,0,2,-4,-2,-2,0.0,2.670000000000001,-2.214,0.2
918,0,1.0,0.0,-1,2.539999999999992,0.0,0,-2,3,-4,1,-5,0.0,-0.10380000000000011,0.15620000000000003,0.3
919,0,1.0,1.0,7,7.6200000000000045,7.6200000000000045,0,0,0,1,1,0,-1.0,-0.3164999999999998,-0.6328,-0.2
920,4,1.0,1.0,6,0.0,-2.5400000000000205,0,1,-2,1,-2,3,0.0,-0.9309999999999998,-0.09870000000000012,0.6000000000000001
921,7,1.0,1.0,3,0.0,7.6200000000000045,3,19,7,12,0,12,16.0,-0.8487,0.7466999999999999,0.0
922,0,0.0,1.0,5,0.0,0.0,0,10,4,5,-1,6,5.0,-0.30249999999999977,1.4283000000000001,-0.19999999999999996
923,4,0.0,1.0,4,-5.079999999999984,-5.0800000000000125,0,6,4,4,2,2,-2.0,-0.028200000000000003,-0.2297,-1.7
924,3,0.0,0.0,5,-12.699999999999989,-17.78,0,2,5,-3,0,-3,-6.0,-1.0729999999999997,1.4029999999999998,-1.0
925,5,0.0,1.0,-7,-2.5400000000000205,-10.159999999999997,0,2,-3,-1,-6,5,4.0,-0.2286999999999999,3.226,7.4
926,1,1.0,0.0,-1,2.539999999999992,-12.700000000000017,0,2,-2,6,2,4,1.0,0.40390000000000004,0.2572,-0.2
927,5,0.0,1.0,10,0.0,2.5400000000000205,0,10,4,13,7,6,-5.0,-1.3785000000000003,-0.4838,-0.30000000000000004
928,0,1.0,1.0,7,2.539999999999992,5.0800000000000125,0,2,3,0,1,-1,0.0,0.07969999999999988,-0.3516999999999998,-0.09999999999999998
929,5,1.0,1.0,-1,2.5400000000000205,-5.0800000000000125,0,2,-2,1,-3,4,0.0,-0.6938999999999997,-0.0525,2.5
930,4,1.0,1.0,-7,7.6200000000000045,7.6200000000000045,0,3,2,-1,-2,1,4.0,0.8771000000000004,0.2816000000000001,0.3
931,1,1.0,0.0,4,5.0800000000000125,7.6200000000000045,0,0,2,0,2,-2,-1.0,-0.36880000000000024,0.047599999999999976,-0.19999999999999996
932,0,1.0,1.0,12,10.159999999999997,15.240000000000009,0,1,1,4,4,0,-3.0,-0.9782000000000001,-0.8590000000000001,0.5
933,1,1.0,1.0,3,5.0800000000000125,2.539999999999992,0,0,1,-1,0,-1,-1.0,-0.5809999999999995,-0.7615,0.20000000000000007
934,3,1.0,1.0,-6,-2.539999999999992,0.0,0,1,0,1,0,1,1.0,1.9524000000000001,-2.0367,0.5
935,5,0.0,1.0,6,-2.5400000000000205,7.6200000000000045,0,7,7,-2,-2,0,4.0,-1.1244,1.2972000000000001,-0.19999999999999996
936,7,1.0,1.0,0,-7.6200000000000045,-10.159999999999997,5,1,1,1,1,0,-6.0,0.7447000000000001,-0.15500000000000003,0.0
937,0,0.0,1.0,4,-5.0800000000000125,-5.0800000000000125,-10,5,2,0,-3,3,6.0,1.6170999999999998,3.1715,0.09999999999999998
938,4,1.0,1.0,1,0.0,-7.6200000000000045,0,2,1,0,-1,1,1.0,0.8516,1.5608,0.5
939,3,1.0,1.0,3,5.0800000000000125,12.699999999999989,0,-2,1,-1,2,-3,-3.0,-1.6092000000000004,2.3354,0.0
940,0,1.0,0.0,4,2.5400000000000205,5.0800000000000125,0,1,0,2,1,1,-1.0,-0.12219999999999986,0.8325,0.5
941,3,0.0,1.0,-4,2.539999999999992,2.539999999999992,0,2,1,3,2,1,-2.0,-2.4939000000000004,0.3165,1.1
942,2,0.0,1.0,-1,-5.079999999999984,7.619999999999976,0,1,1,2,2,0,-3.0,-1.1485000000000003,0.2669,-0.3
943,3,1.0,1.0,-4,5.079999999999984,2.5400000000000205,0,4,0,5,1,4,1.0,0.6345000000000001,1.0258,1.4
944,3,1.0,1.0,10,-5.0800000000000125,-10.159999999999997,0,0,1,1,2,-1,-2.0,-0.3869999999999999,-1.2739,1.5
945,0,1.0,1.0,8,-7.6200000000000045,-10.159999999999997,0,8,4,11,7,4,-1.0,0.8485,0.6270000000000001,-0.7
946,6,1.0,1.0,-3,0.0,2.5400000000000205,0,-2,-1,2,3,-1,-2.0,-0.4692000000000003,0.9139,0.4
947,7,1.0,1.0,6,2.539999999999992,5.079999999999984,60,2,2,2,2,0,-1.0,0.7055999999999998,-0.8285999999999999,0.2
948,6,1.0,1.0,0,-12.699999999999989,-2.5400000000000205,0,2,-2,3,-1,4,-1.0,-1.5406000000000002,0.682,0.4
949,3,0.0,1.0,9,-2.539999999999992,-2.539999999999992,10,9,0,19,10,9,5.0,-0.5194999999999999,0.3446,1.5999999999999999
950,3,0.0,1.0,3,0.0,-7.6200000000000045,0,1,-1,1,-1,2,2.0,-0.08859999999999957,0.9342,-0.3
951,1,1.0,1.0,9,2.5400000000000205,-2.539999999999992,0,-2,3,-1,4,-5,-5.0,-0.8863999999999999,-0.04519999999999996,-1.4
952,2,1.0,1.0,5,5.0800000000000125,12.700000000000017,0,-2,0,1,3,-2,-1.0,2.024,0.7320000000000001,0.2
953,6,0.0,1.0,2,2.539999999999992,5.079999999999984,0,8,-1,19,10,9,0.0,-0.43789999999999996,-0.14849999999999997,0.5
954,4,1.0,1.0,-6,-7.619999999999976,-25.400000000000006,0,-1,0,1,2,-1,-2.0,-0.09929999999999994,-1.8042,0.9
955,0,1.0,0.0,-2,7.619999999999976,5.079999999999984,0,1,-1,1,-1,2,2.0,1.641,0.33740000000000003,2.5
956,3,0.0,1.0,-3,10.160000000000025,-2.539999999999992,10,11,12,0,1,-1,-1.0,-1.8861000000000003,1.0321000000000002,0.9000000000000001
957,2,1.0,1.0,-7,12.700000000000017,2.539999999999992,0,7,7,0,0,0,-4.0,0.6846000000000003,-0.1504,0.6
958,4,1.0,1.0,-6,-10.159999999999997,-12.700000000000017,0,4,6,-6,-4,-2,0.0,1.5136000000000007,-0.2472,-0.39999999999999997
959,7,0.0,1.0,-8,0.0,-2.539999999999992,-1,-1,1,-1,1,-2,2.0,-1.0663999999999998,-0.35100000000000003,-0.5
960,6,1.0,1.0,2,0.0,2.539999999999992,0,2,-2,4,0,4,5.0,0.3628,-0.022800000000000042,0.6000000000000001
961,2,1.0,0.0,-3,2.5400000000000205,7.619999999999976,0,1,3,-1,1,-2,-1.0,-1.7204,0.0,0.3
962,0,1.0,1.0,6,2.539999999999992,-2.5400000000000205,-10,-1,0,-1,0,-1,0.0,-0.28619999999999957,-0.132,-0.6
963,3,1.0,1.0,8,5.079999999999984,12.700000000000017,0,0,0,3,3,0,1.0,0.14160000000000017,0.7854000000000001,-0.30000000000000004
964,2,1.0,1.0,-3,2.5400000000000205,2.539999999999992,0,1,-1,1,-1,2,2.0,1.1880000000000002,1.2203,-1.9
965,0,1.0,1.0,-3,-5.0800000000000125,-5.0800000000000125,0,2,0,2,0,2,0.0,1.0335999999999996,0.602,0.1
966,2,1.0,1.0,-3,0.0,10.159999999999997,0,-1,1,1,3,-2,-3.0,0.2472000000000001,0.0917,-0.6
967,3,1.0,1.0,7,-5.0800000000000125,-10.159999999999997,0,3,0,5,2,3,1.0,-0.639,0.5478000000000001,0.0
968,7,1.0,1.0,9,0.0,2.539999999999992,0,9,3,11,5,6,-4.0,-0.47989999999999977,-2.8613,-0.7
969,6,1.0,1.0,-3,10.159999999999997,7.6200000000000045,0,3,0,-3,-6,3,0.0,-0.13549999999999995,0.25559999999999994,0.1
970,7,1.0,0.0,1,10.159999999999997,12.700000000000017,-1,4,0,7,3,4,0.0,0.41359999999999975,0.19260000000000005,0.0
971,4,0.0,0.0,-12,-2.539999999999992,-15.240000000000009,0,1,-1,1,-1,2,2.0,0.20100000000000007,-0.5916,0.0
972,3,1.0,1.0,0,-10.159999999999997,0.0,-10,2,1,1,0,1,1.0,-1.6158000000000003,1.6204,0.19999999999999996
973,2,1.0,1.0,1,7.6200000000000045,5.079999999999984,0,2,2,0,0,0,0.0,0.236,-0.8422,-0.8999999999999999
974,1,1.0,0.0,-2,0.0,2.539999999999992,0,1,2,-1,0,-1,-1.0,-0.9946,-3.1464000000000003,-1.0
975,0,1.0,1.0,-1,-2.5400000000000205,-5.079999999999984,0,2,2,0,0,0,0.0,-0.6962000000000002,-0.14040000000000002,-2.6
976,5,1.0,1.0,-3,-7.619999999999976,-10.160000000000025,0,3,0,4,1,3,1.0,0.7849000000000002,0.5118,1.1
977,0,1.0,1.0,-3,7.6200000000000045,20.32000000000002,0,2,1,1,0,1,1.0,1.5694,0.527,0.30000000000000004
978,6,1.0,0.0,12,-5.079999999999984,-7.6200000000000045,0,12,5,13,6,7,-4.0,-2.0495,0.6963,0.9
979,0,1.0,1.0,6,-5.0800000000000125,-5.0800000000000125,10,8,5,2,-1,3,0.0,-0.04730000000000012,-0.21240000000000003,1.1
980,4,1.0,1.0,1,-12.699999999999989,-22.859999999999985,0,8,12,-7,-3,-4,-2.0,-0.0032000000000000917,-0.008799999999999919,0.3
981,0,1.0,1.0,8,10.159999999999997,12.700000000000017,0,3,7,-6,-2,-4,-1.0,-1.7305000000000001,-1.046,-0.19999999999999998
982,6,1.0,1.0,5,-7.6200000000000045,-15.240000000000009,-20,3,2,2,1,1,-2.0,-0.9241000000000001,-0.11399999999999999,0.7000000000000001
983,6,1.0,0.0,15,-5.0800000000000125,2.539999999999992,20,14,0,26,12,14,-1.0,-0.78,0.9647999999999999,0.7
984,5,1.0,1.0,0,12.699999999999989,7.6200000000000045,0,2,1,3,2,1,1.0,0.39659999999999984,0.981,0.4
985,3,1.0,0.0,1,-2.5400000000000205,-2.539999999999992,10,2,0,6,4,2,1.0,-0.6356,-0.36050000000000004,0.19999999999999996
986,4,1.0,1.0,-10,0.0,-10.159999999999997,0,1,1,-1,-1,0,0.0,-1.6919000000000004,1.164,1.9
987,7,1.0,1.0,10,0.0,-7.6200000000000045,30,0,4,1,5,-4,-7.0,-0.514,-3.8091999999999993,-2.5
988,1,1.0,1.0,-3,2.5400000000000205,17.78,0,0,2,-6,-4,-2,-1.0,-0.05569999999999986,-0.5064,0.6
989,3,1.0,1.0,-1,-5.0800000000000125,-5.079999999999984,0,1,1,-2,-2,0,0.0,0.867,-0.8889,-1.0
990,4,1.0,1.0,-6,0.0,-5.0800000000000125,15,3,1,4,2,2,-2.0,-0.28659999999999974,0.3373,0.7000000000000001
991,2,0.0,1.0,-10,-15.240000000000009,-12.699999999999989,0,2,-2,2,-2,4,4.0,0.8616999999999999,0.0,0.0
992,1,1.0,1.0,2,-7.6200000000000045,7.6200000000000045,0,0,1,0,1,-1,-2.0,-1.9326000000000005,0.1775,1.6
993,6,1.0,1.0,4,-5.0800000000000125,2.539999999999992,0,7,3,8,4,4,-5.0,0.005199999999999871,0.14640000000000003,-1.1
994,2,1.0,1.0,-3,-10.159999999999997,0.0,0,3,3,3,3,0,-7.0,0.44700000000000006,-0.5382,-0.8999999999999999
995,5,0.0,0.0,-1,-2.539999999999992,-7.6200000000000045,-15,2,-1,3,0,3,0.0,0.25349999999999984,0.19280000000000008,0.0
996,1,1.0,1.0,-3,2.539999999999992,2.539999999999992,0,5,6,-4,-3,-1,-2.0,-0.9064000000000001,0.4214,-0.09999999999999998
997,1,1.0,1.0,-8,2.539999999999992,5.079999999999984,0,3,4,-3,-2,-1,2.0,0.14760000000000018,1.3948,-0.19999999999999996
998,1,1.0,1.0,4,7.6200000000000045,-5.0800000000000125,10,3,1,2,0,2,2.0,2.2086,-0.005800000000000027,-0.2
999,5,1.0,1.0,-7,7.619999999999976,10.160000000000025,0,1,0,-4,-5,1,2.0,0.05709999999999993,-0.054400000000000004,-0.2
